easy,normal,advanced
apple,The quick fox,The cat sleeps on the mat
banana,Over the moon,It is a sunny day today
dog,Jump high now,The dog barks loud at night
fish,Red apple pie,We go to school in the morning
grape,She loves you,She is running fast and happy
house,Green grass grows,The tree stands tall in the field
kite,Cats run fast,It is raining all day long
lemon,Bright sun shines,We eat together at the table
moon,He jumps high,The birds fly high in the sky
pen,The dog barks,He runs faster than a rabbit
quick,The fox jumps,We play with the ball
rose,The wind blows hard,The moon rises over the hill
star,The sun is shining,A cat sits on the window sill
table,The rain falls,They walk down the street together
umbrella,The white snow,The kids run in the park
water,White snow falls,I love my little puppy
zebra,Big world,This is a fun game
x-ray,A big red balloon,The animals are playing
jump,Why did the cat run,The dog barks all night
cactus,Fast cars go,I will jump over the fence
pizza,The clouds are blue,The man runs across the street
yellow,Hidden treasure,She loves playing in the sun
balloon,The birds are flying high,It is a big adventure today
orange,The dog loves bones,The house is on fire
tree,Rainy days are here,It was a quiet and peaceful night
honey,This is my favorite color,We are going to the beach
world,The horse gallops away,The road ahead is clear
apple,The flower blooms,She sings like a bird
couch,The ball bounced,The boat sails on the lake
window,He is running wild,He runs faster than anyone else
wolf,Summer season,She runs by the ocean
beach,He likes to jump,The stars shine bright at night
monkey,Colorful world,The children sing in the morning
love,The stars,The dog runs through the field
night,The streets,He is always on the move
house,The day is cloudy,The cat sat on the window sill
boat,It is cold,The winds blew strong today
rocket,He dribbles with the ball,We climb the mountain together
soccer,They play basketball,She runs to the park every morning
jacket,The leaves are falling,The children are learning to swim
pillow,The dog loves treats,The song plays in the background
bear,She is wonderful,They enjoy playing with their dog
queen,Nap time,The flowers bloom in the spring
yellow,A beautiful pond,I see the stars in the sky
eggplant,The boy is running,I am waiting for you in the park
sand,I love ice cream,The sun is shining brightly
math,Learning to swim,They had a picnic under the tree
lion,The dog barks,He is running fast in the race
xylophone,The cat,The boat sails down the river
piano,The sun rises early,The bird flies above the tree
brown,It is cold,He is always in a hurry
wheel,The car is parked,I found a new path to walk
chair,The water is clear,The sun is setting on the horizon
king,,They sing songs around the fire
